Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;User ID;Group ID;File Size;Filename
18/01/22;00:53:55.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:55.6076102440;644;1000;1002;164;./.git/objects/18/87a16dee7e38837cfc9daabde46a13bfc58406
18/01/22;00:53:56.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:56.6316102180;644;1000;1002;124;./.git/objects/18/a1a6e9a2bc8bc76480faab9ae0f8e487c10563
18/01/22;00:50:53.3796148860;18/01/22;00:53:57.6876101910;18/01/22;00:53:57.6876101910;755;1000;1002;96;./.git/objects/1b
18/01/22;00:50:53.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:53.3836148860;644;1000;1002;444;./.git/objects/1b/index.html
18/01/22;00:53:57.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:57.6916101910;644;1000;1002;47;./.git/objects/1b/9d91f0935424c0511622b987d293cfcc513acb
18/01/22;00:50:54.5316148570;18/01/22;00:53:58.7396101650;18/01/22;00:53:58.7396101650;755;1000;1002;96;./.git/objects/1f
18/01/22;00:50:54.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:54.5316148570;644;1000;1002;444;./.git/objects/1f/index.html
18/01/22;00:53:58.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:58.7396101650;644;1000;1002;3042;./.git/objects/1f/f57a8fe138b7c6ed16660a4d1ecb6cbccf82e7
18/01/22;00:50:55.5756148300;18/01/22;00:54:00.8476101110;18/01/22;00:54:00.8476101110;755;1000;1002;172;./.git/objects/23
18/01/22;00:50:55.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:55.5836148300;644;1000;1002;545;./.git/objects/23/index.html
18/01/22;00:53:59.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:59.7796101380;644;1000;1002;2874;./.git/objects/23/0532764581e476018ee4ddc19e55247180f3aa
18/01/22;00:54:00.0000000000;17/01/22;16:42:37.0000000000;18/01/22;00:54:00.8516101110;644;1000;1002;152;./.git/objects/23/96672e8d0b9f23adabb8cb291efc1683f4e811
18/01/22;00:50:55.6236148290;18/01/22;00:54:01.9476100830;18/01/22;00:54:01.9476100830;755;1000;1002;172;./.git/objects/28
18/01/22;00:50:55.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:55.6236148290;644;1000;1002;545;./.git/objects/28/index.html
18/01/22;00:54:01.0000000000;17/01/22;16:42:37.0000000000;18/01/22;00:54:01.9236100840;644;1000;1002;710;./.git/objects/28/26dda57103847be5da003c29fe6ecd4626056b
18/01/22;00:54:01.0000000000;17/01/22;16:42:37.0000000000;18/01/22;00:54:01.9596100830;644;1000;1002;180;./.git/objects/28/365306b6c20f22d026de77121874fb8fc5e204
18/01/22;00:50:56.7076148010;18/01/22;00:54:03.0396100550;18/01/22;00:54:03.0396100550;755;1000;1002;172;./.git/objects/2d
18/01/22;00:50:56.0000000000;17/01/22;16:42:20.0000000000;18/01/22;00:50:56.7076148010;644;1000;1002;545;./.git/objects/2d/index.html
